0,0
0.125664,0.0797896
0.251327,0.158321
0.376991,0.234355
0.502655,0.306694
0.628319,0.374196
0.753982,0.435796
0.879646,0.490524
1.00531,0.537516
1.13097,0.576031
1.25664,0.605461
1.3823,0.625343
1.50796,0.635364
1.63363,0.635364
1.75929,0.625343
1.88496,0.605461
2.01062,0.576031
2.13628,0.537516
2.26195,0.490524
2.38761,0.435796
2.51327,0.374196
2.63894,0.306694
2.7646,0.234355
2.89027,0.158321
3.01593,0.0797896
3.14159,6.2334e-12
3.26726,-0.0797896
3.39292,-0.158321
3.51858,-0.234355
3.64425,-0.306694
3.76991,-0.374196
3.89557,-0.435796
4.02124,-0.490524
4.1469,-0.537516
4.27257,-0.576031
4.39823,-0.605461
4.52389,-0.625343
4.64956,-0.635364
4.77522,-0.635364
4.90088,-0.625343
5.02655,-0.605461
5.15221,-0.576031
5.27788,-0.537516
5.40354,-0.490524
5.5292,-0.435796
5.65487,-0.374196
5.78053,-0.306694
5.90619,-0.234355
6.03186,-0.158321
6.15752,-0.0797896
6.28319,-1.24645e-11
6.40885,0.0797896
6.53451,0.158321
6.66018,0.234355
6.78584,0.306694
6.9115,0.374196
7.03717,0.435796
7.16283,0.490524
7.28849,0.537516
7.41416,0.576031
7.53982,0.605461
7.66549,0.625343
7.79115,0.635364
7.91681,0.635364
8.04248,0.625343
8.16814,0.605461
8.2938,0.576031
8.41947,0.537516
8.54513,0.490524
8.6708,0.435796
8.79646,0.374196
8.92212,0.306694
9.04779,0.234355
9.17345,0.158321
9.29911,0.0797896
9.42478,1.86957e-11
9.55044,-0.0797896
9.67611,-0.158321
9.80177,-0.234355
9.92743,-0.306694
10.0531,-0.374196
10.1788,-0.435796
10.3044,-0.490524
10.4301,-0.537516
10.5558,-0.576031
10.6814,-0.605461
10.8071,-0.625343
10.9327,-0.635364
11.0584,-0.635364
11.1841,-0.625343
11.3097,-0.605461
11.4354,-0.576031
11.5611,-0.537516
11.6867,-0.490524
11.8124,-0.435796
11.9381,-0.374196
12.0637,-0.306694
12.1894,-0.234355
12.315,-0.158321
12.4407,-0.0797896
